a ㄚ
piaoqqqqq ㄆㄧㄠ˙
pie ㄆㄧㄝ
pieq ㄆㄧㄝˉ
pieqq ㄆㄧㄝˊ
pieqqq ㄆㄧㄝˇ
pieqqqq ㄆㄧㄝˋ
pieqqqqq ㄆㄧㄝ˙
pin ㄆㄧㄣ
pinq ㄆㄧㄣˉ
pinqq ㄆㄧㄣˊ
pinqqq ㄆㄧㄣˇ
pinqqqq ㄆㄧㄣˋ
pinqqqqq ㄆㄧㄣ˙
ping ㄆㄧㄥ
pingq ㄆㄧㄥˉ
pingqq ㄆㄧㄥˊ
pingqqq ㄆㄧㄥˇ
pingqqqq ㄆㄧㄥˋ
pingqqqqq ㄆㄧㄥ˙
piong ㄆㄩㄥ
piongq ㄆㄩㄥˉ
piongqq ㄆㄩㄥˊ
piongqqq ㄆㄩㄥˇ
piongqqqq ㄆㄩㄥˋ
piongqqqqq ㄆㄩㄥ˙
piou ㄆㄧㄡ
piouq ㄆㄧㄡˉ
piouqq ㄆㄧㄡˊ
piouqqq ㄆㄧㄡˇ
piouqqqq ㄆㄧㄡˋ
piouqqqqq ㄆㄧㄡ˙
piu ㄆㄧㄡ
piuq ㄆㄧㄡˉ
piuqq ㄆㄧㄡˊ
piuqqq ㄆㄧㄡˇ
piuqqqq ㄆㄧㄡˋ
piuqqqqq ㄆㄧㄡ˙
piung ㄆㄩㄥ
piungq ㄆㄩㄥˉ
piungqq ㄆㄩㄥˊ
piungqqq ㄆㄩㄥˇ
piungqqqq ㄆㄩㄥˋ
piungqqqqq ㄆㄩㄥ˙
po ㄆㄛ
poq ㄆㄛˉ
poqq ㄆㄛˊ
poqqq ㄆㄛˇ
poqqqq ㄆㄛˋ
poqqqqq ㄆㄛ˙
pong ㄆㄨㄥ
pongq ㄆㄨㄥˉ
pongqq ㄆㄨㄥˊ
pongqqq ㄆㄨㄥˇ
pongqqqq ㄆㄨㄥˋ
pongqqqqq ㄆㄨㄥ˙
pou ㄆㄡ
pouq ㄆㄡˉ
pouqq ㄆㄡˊ
pouqqq ㄆㄡˇ
pouqqqq ㄆㄡˋ
pouqqqqq ㄆㄡ˙
pu ㄆㄨ
puq ㄆㄨˉ
puqq ㄆㄨˊ
puqqq ㄆㄨˇ
puqqqq ㄆㄨˋ
puqqqqq ㄆㄨ˙
pua ㄆㄨㄚ
puaq ㄆㄨㄚˉ
puaqq ㄆㄨㄚˊ
puaqqq ㄆㄨㄚˇ
puaqqqq ㄆㄨㄚˋ
puaqqqqq ㄆㄨㄚ˙
puai ㄆㄨㄞ
puaiq ㄆㄨㄞˉ
puaiqq ㄆㄨㄞˊ
puaiqqq ㄆㄨㄞˇ
puaiqqqq ㄆㄨㄞˋ
puaiqqqqq ㄆㄨㄞ˙
puan ㄆㄨㄢ
puanq ㄆㄨㄢˉ
puanqq ㄆㄨㄢˊ
puanqqq ㄆㄨㄢˇ
puanqqqq ㄆㄨㄢˋ
puanqqqqq ㄆㄨㄢ˙
puang ㄆㄨㄤ
puangq ㄆㄨㄤˉ
puangqq ㄆㄨㄤˊ
puangqqq ㄆㄨㄤˇ
puangqqqq ㄆㄨㄤˋ
puangqqqqq ㄆㄨㄤ˙
pui ㄆㄨㄟ
puiq ㄆㄨㄟˉ
puiqq ㄆㄨㄟˊ
puiqqq ㄆㄨㄟˇ
puiqqqq ㄆㄨㄟˋ
puiqqqqq ㄆㄨㄟ˙
pun ㄆㄨㄣ
punq ㄆㄨㄣˉ
punqq ㄆㄨㄣˊ
punqqq ㄆㄨㄣˇ
punqqqq ㄆㄨㄣˋ
punqqqqq ㄆㄨㄣ˙
pung ㄆㄨㄥ
pungq ㄆㄨㄥˉ
pungqq ㄆㄨㄥˊ
pungqqq ㄆㄨㄥˇ
pungqqqq ㄆㄨㄥˋ
pungqqqqq ㄆㄨㄥ˙
puo ㄆㄨㄛ
puoq ㄆㄨㄛˉ
puoqq ㄆㄨㄛˊ
puoqqq ㄆㄨㄛˇ
puoqqqq ㄆㄨㄛˋ
puoqqqqq ㄆㄨㄛ˙
pv ㄆㄩ
pvq ㄆㄩˉ
pvqq ㄆㄩˊ
pvqqq ㄆㄩˇ
pvqqqq ㄆㄩˋ
pvqqqqq ㄆㄩ˙
pve ㄆㄩㄝ
pveq ㄆㄩㄝˉ
pveqq ㄆㄩㄝˊ
pveqqq ㄆㄩㄝˇ
pveqqqq ㄆㄩㄝˋ
pveqqqqq ㄆㄩㄝ˙
pvn ㄆㄩㄣ
pvnq ㄆㄩㄣˉ
pvnqq ㄆㄩㄣˊ
pvnqqq ㄆㄩㄣˇ
pvnqqqq ㄆㄩㄣˋ
pvnqqqqq ㄆㄩㄣ˙
pvng ㄆㄩㄥ
pvngq ㄆㄩㄥˉ
pvngqq ㄆㄩㄥˊ
pvngqqq ㄆㄩㄥˇ
pvngqqqq ㄆㄩㄥˋ
pvngqqqqq ㄆㄩㄥ˙
pyu ㄆㄩ
pyuq ㄆㄩˉ
pyuqq ㄆㄩˊ
pyuqqq ㄆㄩˇ
pyuqqqq ㄆㄩˋ
pyuqqqqq ㄆㄩ˙
pyue ㄆㄩㄝ
pyueq ㄆㄩㄝˉ
pyueqq ㄆㄩㄝˊ
pyueqqq ㄆㄩㄝˇ
pyueqqqq ㄆㄩㄝˋ
pyueqqqqq ㄆㄩㄝ˙
pyun ㄆㄩㄣ
pyunq ㄆㄩㄣˉ
pyunqq ㄆㄩㄣˊ
pyunqqq ㄆㄩㄣˇ
pyunqqqq ㄆㄩㄣˋ
pyunqqqqq ㄆㄩㄣ˙
pyung ㄆㄩㄥ
pyungq ㄆㄩㄥˉ
pyungqq ㄆㄩㄥˊ
pyungqqq ㄆㄩㄥˇ
pyungqqqq ㄆㄩㄥˋ
pyungqqqqq ㄆㄩㄥ˙
qa ㄑㄚ
qaq ㄑㄚˉ
qaqq ㄑㄚˊ
qaqqq ㄑㄚˇ
qaqqqq ㄑㄚˋ
qaqqqqq ㄑㄚ˙
qai ㄑㄞ
qaiq ㄑㄞˉ
qaiqq ㄑㄞˊ
qaiqqq ㄑㄞˇ
qaiqqqq ㄑㄞˋ
qaiqqqqq ㄑㄞ˙
qan ㄑㄢ
qanq ㄑㄢˉ
qanqq ㄑㄢˊ
qanqqq ㄑㄢˇ
qanqqqq ㄑㄢˋ
qanqqqqq ㄑㄢ˙
qang ㄑㄤ
qangq ㄑㄤˉ
qangqq ㄑㄤˊ
qangqqq ㄑㄤˇ
qangqqqq ㄑㄤˋ
qangqqqqq ㄑㄤ˙
qao ㄑㄠ
qaoq ㄑㄠˉ
qaoqq ㄑㄠˊ
qaoqqq ㄑㄠˇ
qaoqqqq ㄑㄠˋ
qaoqqqqq ㄑㄠ˙
qe ㄑㄜ
qeq ㄑㄜˉ
qeqq ㄑㄜˊ
qeqqq ㄑㄜˇ
qeqqqq ㄑㄜˋ
qeqqqqq ㄑㄜ˙
qei ㄑㄟ
qeiq ㄑㄟˉ
qeiqq ㄑㄟˊ
qeiqqq ㄑㄟˇ
qeiqqqq ㄑㄟˋ
qeiqqqqq ㄑㄟ˙
qen ㄑㄣ
qenq ㄑㄣˉ
qenqq ㄑㄣˊ
qenqqq ㄑㄣˇ
qenqqqq ㄑㄣˋ
qenqqqqq ㄑㄣ˙
qeng ㄑㄥ
qengq ㄑㄥˉ
qengqq ㄑㄥˊ
qengqqq ㄑㄥˇ
qengqqqq ㄑㄥˋ
qengqqqqq ㄑㄥ˙
qer ㄑㄦ
qerq ㄑㄦˉ
qerqq ㄑㄦˊ
qerqqq ㄑㄦˇ
qerqqqq ㄑㄦˋ
qerqqqqq ㄑㄦ˙
qi ㄑㄧ
qiq ㄑㄧˉ
qiqq ㄑㄧˊ
qiqqq ㄑㄧˇ
qiqqqq ㄑㄧˋ
qiqqqqq ㄑㄧ˙
qia ㄑㄧㄚ
qiaq ㄑㄧㄚˉ
qiaqq ㄑㄧㄚˊ
qiaqqq ㄑㄧㄚˇ
qiaqqqq ㄑㄧㄚˋ
qiaqqqqq ㄑㄧㄚ˙
qian ㄑㄧㄢ
qianq ㄑㄧㄢˉ
qianqq ㄑㄧㄢˊ
qianqqq ㄑㄧㄢˇ
qianqqqq ㄑㄧㄢˋ
qianqqqqq ㄑㄧㄢ˙
qiang ㄑㄧㄤ
qiangq ㄑㄧㄤˉ
qiangqq ㄑㄧㄤˊ
qiangqqq ㄑㄧㄤˇ
qiangqqqq ㄑㄧㄤˋ
qiangqqqqq ㄑㄧㄤ˙
qiao ㄑㄧㄠ
qiaoq ㄑㄧㄠˉ
qiaoqq ㄑㄧㄠˊ
qiaoqqq ㄑㄧㄠˇ
qiaoqqqq ㄑㄧㄠˋ
qiaoqqqqq ㄑㄧㄠ˙
qie ㄑㄧㄝ
qieq ㄑㄧㄝˉ
qieqq ㄑㄧㄝˊ
qieqqq ㄑㄧㄝˇ
qieqqqq ㄑㄧㄝˋ
qieqqqqq ㄑㄧㄝ˙
qin ㄑㄧㄣ
qinq ㄑㄧㄣˉ
qinqq ㄑㄧㄣˊ
qinqqq ㄑㄧㄣˇ
qinqqqq ㄑㄧㄣˋ
qinqqqqq ㄑㄧㄣ˙
qing ㄑㄧㄥ
qingq ㄑㄧㄥˉ
qingqq ㄑㄧㄥˊ
qingqqq ㄑㄧㄥˇ
qingqqqq ㄑㄧㄥˋ
qingqqqqq ㄑㄧㄥ˙
qiong ㄑㄩㄥ
qiongq ㄑㄩㄥˉ
qiongqq ㄑㄩㄥˊ
qiongqqq ㄑㄩㄥˇ
qiongqqqq ㄑㄩㄥˋ
qiongqqqqq ㄑㄩㄥ˙
qiou ㄑㄧㄡ
qiouq ㄑㄧㄡˉ
qiouqq ㄑㄧㄡˊ
qiouqqq ㄑㄧㄡˇ
qiouqqqq ㄑㄧㄡˋ
qiouqqqqq ㄑㄧㄡ˙
qiu ㄑㄧㄡ
qiuq ㄑㄧㄡˉ
qiuqq ㄑㄧㄡˊ
qiuqqq ㄑㄧㄡˇ
qiuqqqq ㄑㄧㄡˋ
qiuqqqqq ㄑㄧㄡ˙
qiung ㄑㄩㄥ
qiungq ㄑㄩㄥˉ
qiungqq ㄑㄩㄥˊ
qiungqqq ㄑㄩㄥˇ
qiungqqqq ㄑㄩㄥˋ
qiungqqqqq ㄑㄩㄥ˙
qo ㄑㄛ
qoq ㄑㄛˉ
qoqq ㄑㄛˊ
qoqqq ㄑㄛˇ
qoqqqq ㄑㄛˋ
qoqqqqq ㄑㄛ˙
qong ㄑㄨㄥ
qongq ㄑㄨㄥˉ
qongqq ㄑㄨㄥˊ
qongqqq ㄑㄨㄥˇ
qongqqqq ㄑㄨㄥˋ
qongqqqqq ㄑㄨㄥ˙
qou ㄑㄡ
qouq ㄑㄡˉ
qouqq ㄑㄡˊ
qouqqq ㄑㄡˇ
qouqqqq ㄑㄡˋ
qouqqqqq ㄑㄡ˙
qu ㄑㄨ
quq ㄑㄨˉ
quqq ㄑㄨˊ
quqqq ㄑㄨˇ
quqqqq ㄑㄨˋ
quqqqqq ㄑㄨ˙
qua ㄑㄨㄚ
quaq ㄑㄨㄚˉ
quaqq ㄑㄨㄚˊ
quaqqq ㄑㄨㄚˇ
quaqqqq ㄑㄨㄚˋ
quaqqqqq ㄑㄨㄚ˙
quai ㄑㄨㄞ
quaiq ㄑㄨㄞˉ
quaiqq ㄑㄨㄞˊ
quaiqqq ㄑㄨㄞˇ
quaiqqqq ㄑㄨㄞˋ
quaiqqqqq ㄑㄨㄞ˙
quan ㄑㄨㄢ
quanq ㄑㄨㄢˉ
quanqq ㄑㄨㄢˊ
quanqqq ㄑㄨㄢˇ
quanqqqq ㄑㄨㄢˋ
quanqqqqq ㄑㄨㄢ˙
quang ㄑㄨㄤ
quangq ㄑㄨㄤˉ
quangqq ㄑㄨㄤˊ
quangqqq ㄑㄨㄤˇ
quangqqqq ㄑㄨㄤˋ
quangqqqqq ㄑㄨㄤ˙
que ㄑㄩㄝ
queq ㄑㄩㄝˉ
queqq ㄑㄩㄝˊ
queqqq ㄑㄩㄝˇ
queqqqq ㄑㄩㄝˋ
queqqqqq ㄑㄩㄝ˙
qui ㄑㄨㄟ
quiq ㄑㄨㄟˉ
quiqq ㄑㄨㄟˊ
quiqqq ㄑㄨㄟˇ
quiqqqq ㄑㄨㄟˋ
quiqqqqq ㄑㄨㄟ˙
qun ㄑㄨㄣ
qunq ㄑㄨㄣˉ
qunqq ㄑㄨㄣˊ
qunqqq ㄑㄨㄣˇ
qunqqqq ㄑㄨㄣˋ
qunqqqqq ㄑㄨㄣ˙
qung ㄑㄨㄥ
qungq ㄑㄨㄥˉ
qungqq ㄑㄨㄥˊ
qungqqq ㄑㄨㄥˇ
qungqqqq ㄑㄨㄥˋ
qungqqqqq ㄑㄨㄥ˙
quo ㄑㄨㄛ
quoq ㄑㄨㄛˉ
quoqq ㄑㄨㄛˊ
quoqqq ㄑㄨㄛˇ
quoqqqq ㄑㄨㄛˋ
quoqqqqq ㄑㄨㄛ˙
qv ㄑㄩ
qvq ㄑㄩˉ
qvqq ㄑㄩˊ
qvqqq ㄑㄩˇ
qvqqqq ㄑㄩˋ
qvqqqqq ㄑㄩ˙
qve ㄑㄩㄝ
qveq ㄑㄩㄝˉ
qveqq ㄑㄩㄝˊ
qveqqq ㄑㄩㄝˇ
qveqqqq ㄑㄩㄝˋ
qveqqqqq ㄑㄩㄝ˙
qvn ㄑㄩㄣ
qvnq ㄑㄩㄣˉ
qvnqq ㄑㄩㄣˊ
qvnqqq ㄑㄩㄣˇ
qvnqqqq ㄑㄩㄣˋ
qvnqqqqq ㄑㄩㄣ˙
qvng ㄑㄩㄥ
qvngq ㄑㄩㄥˉ
qvngqq ㄑㄩㄥˊ
qvngqqq ㄑㄩㄥˇ
qvngqqqq ㄑㄩㄥˋ
qvngqqqqq ㄑㄩㄥ˙
qyu ㄑㄩ
qyuq ㄑㄩˉ
qyuqq ㄑㄩˊ
qyuqqq ㄑㄩˇ
qyuqqqq ㄑㄩˋ
qyuqqqqq ㄑㄩ˙
qyue ㄑㄩㄝ
qyueq ㄑㄩㄝˉ
qyueqq ㄑㄩㄝˊ
qyueqqq ㄑㄩㄝˇ
qyueqqqq ㄑㄩㄝˋ
qyueqqqqq ㄑㄩㄝ˙
qyun ㄑㄩㄣ
qyunq ㄑㄩㄣˉ
qyunqq ㄑㄩㄣˊ
qyunqqq ㄑㄩㄣˇ
qyunqqqq ㄑㄩㄣˋ
qyunqqqqq ㄑㄩㄣ˙
qyung ㄑㄩㄥ
qyungq ㄑㄩㄥˉ
qyungqq ㄑㄩㄥˊ
qyungqqq ㄑㄩㄥˇ
qyungqqqq ㄑㄩㄥˋ
qyungqqqqq ㄑㄩㄥ˙
ra ㄖㄚ
raq ㄖㄚˉ
raqq ㄖㄚˊ
raqqq ㄖㄚˇ
raqqqq ㄖㄚˋ
raqqqqq ㄖㄚ˙
rai ㄖㄞ
raiq ㄖㄞˉ
raiqq ㄖㄞˊ
raiqqq ㄖㄞˇ
raiqqqq ㄖㄞˋ
raiqqqqq ㄖㄞ˙
ran ㄖㄢ
ranq ㄖㄢˉ
ranqq ㄖㄢˊ
ranqqq ㄖㄢˇ
ranqqqq ㄖㄢˋ
ranqqqqq ㄖㄢ˙
rang ㄖㄤ
rangq ㄖㄤˉ
rangqq ㄖㄤˊ
rangqqq ㄖㄤˇ
rangqqqq ㄖㄤˋ
rangqqqqq ㄖㄤ˙
rao ㄖㄠ
raoq ㄖㄠˉ
raoqq ㄖㄠˊ
raoqqq ㄖㄠˇ
raoqqqq ㄖㄠˋ
raoqqqqq ㄖㄠ˙
re ㄖㄜ
req ㄖㄜˉ
reqq ㄖㄜˊ
reqqq ㄖㄜˇ
reqqqq ㄖㄜˋ
reqqqqq ㄖㄜ˙
rei ㄖㄟ
reiq ㄖㄟˉ
reiqq ㄖㄟˊ
reiqqq ㄖㄟˇ
reiqqqq ㄖㄟˋ
reiqqqqq ㄖㄟ˙
ren ㄖㄣ
renq ㄖㄣˉ
renqq ㄖㄣˊ
renqqq ㄖㄣˇ
renqqqq ㄖㄣˋ
renqqqqq ㄖㄣ˙
reng ㄖㄥ
rengq ㄖㄥˉ
rengqq ㄖㄥˊ
rengqqq ㄖㄥˇ
rengqqqq ㄖㄥˋ
rengqqqqq ㄖㄥ˙
rer ㄖㄦ
rerq ㄖㄦˉ
rerqq ㄖㄦˊ
rerqqq ㄖㄦˇ
rerqqqq ㄖㄦˋ
rerqqqqq ㄖㄦ˙
ri ㄖ
riq ㄖˉ
riqq ㄖˊ
riqqq ㄖˇ
riqqqq ㄖˋ
riqqqqq ㄖ˙
ri ㄖㄧ
riq ㄖㄧˉ
riqq ㄖㄧˊ
riqqq ㄖㄧˇ
riqqqq ㄖㄧˋ
riqqqqq ㄖㄧ˙
ria ㄖㄧㄚ
riaq ㄖㄧㄚˉ
riaqq ㄖㄧㄚˊ
riaqqq ㄖㄧㄚˇ
riaqqqq ㄖㄧㄚˋ
riaqqqqq ㄖㄧㄚ˙
rian ㄖㄧㄢ
rianq ㄖㄧㄢˉ
rianqq ㄖㄧㄢˊ
rianqqq ㄖㄧㄢˇ
rianqqqq ㄖㄧㄢˋ
rianqqqqq ㄖㄧㄢ˙
riang ㄖㄧㄤ
riangq ㄖㄧㄤˉ
riangqq ㄖㄧㄤˊ
riangqqq ㄖㄧㄤˇ
riangqqqq ㄖㄧㄤˋ
riangqqqqq ㄖㄧㄤ˙
riao ㄖㄧㄠ
riaoq ㄖㄧㄠˉ
riaoqq ㄖㄧㄠˊ
riaoqqq ㄖㄧㄠˇ
riaoqqqq ㄖㄧㄠˋ
riaoqqqqq ㄖㄧㄠ˙
rie ㄖㄧㄝ
rieq ㄖㄧㄝˉ
rieqq ㄖㄧㄝˊ
rieqqq ㄖㄧㄝˇ
rieqqqq ㄖㄧㄝˋ
rieqqqqq ㄖㄧㄝ˙
rin ㄖㄧㄣ
rinq ㄖㄧㄣˉ
rinqq ㄖㄧㄣˊ
rinqqq ㄖㄧㄣˇ
rinqqqq ㄖㄧㄣˋ
rinqqqqq ㄖㄧㄣ˙
ring ㄖㄧㄥ
ringq ㄖㄧㄥˉ
ringqq ㄖㄧㄥˊ
ringqqq ㄖㄧㄥˇ
ringqqqq ㄖㄧㄥˋ
ringqqqqq ㄖㄧㄥ˙
riong ㄖㄩㄥ
riongq ㄖㄩㄥˉ
riongqq ㄖㄩㄥˊ
riongqqq ㄖㄩㄥˇ
riongqqqq ㄖㄩㄥˋ
riongqqqqq ㄖㄩㄥ˙
riou ㄖㄧㄡ
riouq ㄖㄧㄡˉ
riouqq ㄖㄧㄡˊ
riouqqq ㄖㄧㄡˇ
riouqqqq ㄖㄧㄡˋ
riouqqqqq ㄖㄧㄡ˙
riu ㄖㄧㄡ
riuq ㄖㄧㄡˉ
riuqq ㄖㄧㄡˊ
riuqqq ㄖㄧㄡˇ
riuqqqq ㄖㄧㄡˋ
riuqqqqq ㄖㄧㄡ˙
riung ㄖㄩㄥ
riungq ㄖㄩㄥˉ
riungqq ㄖㄩㄥˊ
riungqqq ㄖㄩㄥˇ
riungqqqq ㄖㄩㄥˋ
riungqqqqq ㄖㄩㄥ˙
ro ㄖㄛ
roq ㄖㄛˉ
roqq ㄖㄛˊ
roqqq ㄖㄛˇ
roqqqq ㄖㄛˋ
roqqqqq ㄖㄛ˙
rong ㄖㄨㄥ
rongq ㄖㄨㄥˉ
rongqq ㄖㄨㄥˊ
rongqqq ㄖㄨㄥˇ
rongqqqq ㄖㄨㄥˋ
rongqqqqq ㄖㄨㄥ˙
rou ㄖㄡ
rouq ㄖㄡˉ
rouqq ㄖㄡˊ
rouqqq ㄖㄡˇ
rouqqqq ㄖㄡˋ
rouqqqqq ㄖㄡ˙
ru ㄖㄨ
ruq ㄖㄨˉ
ruqq ㄖㄨˊ
ruqqq ㄖㄨˇ
ruqqqq ㄖㄨˋ
ruqqqqq ㄖㄨ˙
rua ㄖㄨㄚ
ruaq ㄖㄨㄚˉ
ruaqq ㄖㄨㄚˊ
ruaqqq ㄖㄨㄚˇ
ruaqqqq ㄖㄨㄚˋ
ruaqqqqq ㄖㄨㄚ˙
ruai ㄖㄨㄞ
ruaiq ㄖㄨㄞˉ
ruaiqq ㄖㄨㄞˊ
ruaiqqq ㄖㄨㄞˇ
ruaiqqqq ㄖㄨㄞˋ
ruaiqqqqq ㄖㄨㄞ˙
ruan ㄖㄨㄢ
ruanq ㄖㄨㄢˉ
ruanqq ㄖㄨㄢˊ
ruanqqq ㄖㄨㄢˇ
ruanqqqq ㄖㄨㄢˋ
ruanqqqqq ㄖㄨㄢ˙
ruang ㄖㄨㄤ
ruangq ㄖㄨㄤˉ
ruangqq ㄖㄨㄤˊ
ruangqqq ㄖㄨㄤˇ
ruangqqqq ㄖㄨㄤˋ
ruangqqqqq ㄖㄨㄤ˙
rui ㄖㄨㄟ
ruiq ㄖㄨㄟˉ
ruiqq ㄖㄨㄟˊ
ruiqqq ㄖㄨㄟˇ
ruiqqqq ㄖㄨㄟˋ
ruiqqqqq ㄖㄨㄟ˙
run ㄖㄨㄣ
runq ㄖㄨㄣˉ
runqq ㄖㄨㄣˊ
runqqq ㄖㄨㄣˇ
runqqqq ㄖㄨㄣˋ
runqqqqq ㄖㄨㄣ˙
rung ㄖㄨㄥ
rungq ㄖㄨㄥˉ
rungqq ㄖㄨㄥˊ
rungqqq ㄖㄨㄥˇ
rungqqqq ㄖㄨㄥˋ
rungqqqqq ㄖㄨㄥ˙
ruo ㄖㄨㄛ
ruoq ㄖㄨㄛˉ
ruoqq ㄖㄨㄛˊ
ruoqqq ㄖㄨㄛˇ
ruoqqqq ㄖㄨㄛˋ
ruoqqqqq ㄖㄨㄛ˙
rv ㄖㄩ
rvq ㄖㄩˉ
rvqq ㄖㄩˊ
rvqqq ㄖㄩˇ
rvqqqq ㄖㄩˋ
rvqqqqq ㄖㄩ˙
rve ㄖㄩㄝ
rveq ㄖㄩㄝˉ
rveqq ㄖㄩㄝˊ
rveqqq ㄖㄩㄝˇ
rveqqqq ㄖㄩㄝˋ
rveqqqqq ㄖㄩㄝ˙
rvn ㄖㄩㄣ
rvnq ㄖㄩㄣˉ
rvnqq ㄖㄩㄣˊ
rvnqqq ㄖㄩㄣˇ
rvnqqqq ㄖㄩㄣˋ
rvnqqqqq ㄖㄩㄣ˙
rvng ㄖㄩㄥ
rvngq ㄖㄩㄥˉ
rvngqq ㄖㄩㄥˊ
rvngqqq ㄖㄩㄥˇ
rvngqqqq ㄖㄩㄥˋ
rvngqqqqq ㄖㄩㄥ˙
ryu ㄖㄩ
ryuq ㄖㄩˉ
ryuqq ㄖㄩˊ
ryuqqq ㄖㄩˇ
ryuqqqq ㄖㄩˋ
ryuqqqqq ㄖㄩ˙
ryue ㄖㄩㄝ
ryueq ㄖㄩㄝˉ
ryueqq ㄖㄩㄝˊ
ryueqqq ㄖㄩㄝˇ
ryueqqqq ㄖㄩㄝˋ
ryueqqqqq ㄖㄩㄝ˙
ryun ㄖㄩㄣ
ryunq ㄖㄩㄣˉ
ryunqq ㄖㄩㄣˊ
ryunqqq ㄖㄩㄣˇ
ryunqqqq ㄖㄩㄣˋ
ryunqqqqq ㄖㄩㄣ˙
ryung ㄖㄩㄥ
ryungq ㄖㄩㄥˉ
ryungqq ㄖㄩㄥˊ
ryungqqq ㄖㄩㄥˇ
ryungqqqq ㄖㄩㄥˋ
ryungqqqqq ㄖㄩㄥ˙
sa ㄙㄚ
saq ㄙㄚˉ
saqq ㄙㄚˊ
saqqq ㄙㄚˇ
saqqqq ㄙㄚˋ
saqqqqq ㄙㄚ˙
sai ㄙㄞ
saiq ㄙㄞˉ
saiqq ㄙㄞˊ
saiqqq ㄙㄞˇ
saiqqqq ㄙㄞˋ
saiqqqqq ㄙㄞ˙
san ㄙㄢ
sanq ㄙㄢˉ
sanqq ㄙㄢˊ
sanqqq ㄙㄢˇ
sanqqqq ㄙㄢˋ
sanqqqqq ㄙㄢ˙
sang ㄙㄤ
sangq ㄙㄤˉ
sangqq ㄙㄤˊ
sangqqq ㄙㄤˇ
sangqqqq ㄙㄤˋ
sangqqqqq ㄙㄤ˙
sao ㄙㄠ
saoq ㄙㄠˉ
saoqq ㄙㄠˊ
saoqqq ㄙㄠˇ
saoqqqq ㄙㄠˋ
saoqqqqq ㄙㄠ˙
se ㄙㄜ
seq ㄙㄜˉ
seqq ㄙㄜˊ
seqqq ㄙㄜˇ
seqqqq ㄙㄜˋ
seqqqqq ㄙㄜ˙
sei ㄙㄟ
seiq ㄙㄟˉ
seiqq ㄙㄟˊ
seiqqq ㄙㄟˇ
seiqqqq ㄙㄟˋ
seiqqqqq ㄙㄟ˙
sen ㄙㄣ
senq ㄙㄣˉ
senqq ㄙㄣˊ
senqqq ㄙㄣˇ
senqqqq ㄙㄣˋ
senqqqqq ㄙㄣ˙
seng ㄙㄥ
sengq ㄙㄥˉ
sengqq ㄙㄥˊ
sengqqq ㄙㄥˇ
sengqqqq ㄙㄥˋ
sengqqqqq ㄙㄥ˙
ser ㄙㄦ
serq ㄙㄦˉ
serqq ㄙㄦˊ
serqqq ㄙㄦˇ
serqqqq ㄙㄦˋ
serqqqqq ㄙㄦ˙
sha ㄕㄚ
shaq ㄕㄚˉ
shaqq ㄕㄚˊ
shaqqq ㄕㄚˇ
shaqqqq ㄕㄚˋ
shaqqqqq ㄕㄚ˙
shai ㄕㄞ
shaiq ㄕㄞˉ
shaiqq ㄕㄞˊ
shaiqqq ㄕㄞˇ
shaiqqqq ㄕㄞˋ
shaiqqqqq ㄕㄞ˙
shan ㄕㄢ
shanq ㄕㄢˉ
shanqq ㄕㄢˊ
shanqqq ㄕㄢˇ
shanqqqq ㄕㄢˋ
shanqqqqq ㄕㄢ˙
shang ㄕㄤ
shangq ㄕㄤˉ
shangqq ㄕㄤˊ
shangqqq ㄕㄤˇ
shangqqqq ㄕㄤˋ
shangqqqqq ㄕㄤ˙
shao ㄕㄠ
shaoq ㄕㄠˉ
shaoqq ㄕㄠˊ
shaoqqq ㄕㄠˇ
shaoqqqq ㄕㄠˋ
shaoqqqqq ㄕㄠ˙
she ㄕㄜ
sheq ㄕㄜˉ
sheqq ㄕㄜˊ
sheqqq ㄕㄜˇ
sheqqqq ㄕㄜˋ
sheqqqqq ㄕㄜ˙
shei ㄕㄟ
sheiq ㄕㄟˉ
sheiqq ㄕㄟˊ
sheiqqq ㄕㄟˇ
sheiqqqq ㄕㄟˋ
sheiqqqqq ㄕㄟ˙
shen ㄕㄣ
shenq ㄕㄣˉ
shenqq ㄕㄣˊ
shenqqq ㄕㄣˇ
shenqqqq ㄕㄣˋ
shenqqqqq ㄕㄣ˙
sheng ㄕㄥ
shengq ㄕㄥˉ
shengqq ㄕㄥˊ
shengqqq ㄕㄥˇ
shengqqqq ㄕㄥˋ
shengqqqqq ㄕㄥ˙
sher ㄕㄦ
sherq ㄕㄦˉ
sherqq ㄕㄦˊ
sherqqq ㄕㄦˇ
sherqqqq ㄕㄦˋ
sherqqqqq ㄕㄦ˙
shi ㄕ
shiq ㄕˉ
shiqq ㄕˊ
shiqqq ㄕˇ
shiqqqq ㄕˋ
shiqqqqq ㄕ˙
shi ㄕㄧ
shiq ㄕㄧˉ
shiqq ㄕㄧˊ
shiqqq ㄕㄧˇ
shiqqqq ㄕㄧˋ
shiqqqqq ㄕㄧ˙
shia ㄕㄧㄚ
shiaq ㄕㄧㄚˉ
shiaqq ㄕㄧㄚˊ
shiaqqq ㄕㄧㄚˇ
shiaqqqq ㄕㄧㄚˋ
shiaqqqqq ㄕㄧㄚ˙
shian ㄕㄧㄢ
shianq ㄕㄧㄢˉ
shianqq ㄕㄧㄢˊ
shianqqq ㄕㄧㄢˇ
shianqqqq ㄕㄧㄢˋ
